Gene symbol,Uniprot Identifier,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9
HECTD3,Q5T447,0.5141343650921399,0.5373517166615152,0.4820180840753956,0.3985673802851686,0.49795588039203054,0.4833186011833597,0.19481923110148358,0.5509075751369927,0.40003045306074725,0.292154991023196,0.2702870422206729,0.24905614995483205,0.10157515842056597,0.3938739865205392,0.3188230729770325
HECTD4,Q9Y4D8,-1.2804155730765636,-1.3295751660583335,-1.06708336729427,-1.2805747259428664,-1.1193681315159978,-1.2755548430327437,-1.2041044286493268,-1.158525324600948,-1.1430463548749366,-1.267778854600234,-1.2906096027275424,-1.1766048011180068,-1.2351708495808502,-1.1330048058646227,-1.1416204946197475
HECW2,Q9P2P5,-0.12587759947648536,0.29168252256888394,0.07869181064199893,-0.22506913378961002,-0.1524928223584574,-0.08041651896768442,-0.6626965551601067,0.25132382362712136,0.22428893173872666,-0.050943125347508555,-0.15202264499304263,0.11501416601729275,-0.950635703853834,0.1377230165831378,0.20554618687098625
HEG1,Q9ULI3,-0.7809604299340975,-0.8084552210050902,-0.9052984067052563,-1.1948969502322129,-0.9692699062194023,-1.086617013705574,-0.8029599368853724,-0.6769629989493993,-0.8075752566261443,-0.8612963368266442,-0.844213677038482,-0.8454365966317106,-0.9641417181044005,-0.8172679864293002,-0.7488577832810535
HELZ,P42694,-3.8837900220594026,-3.831639802339909,-4.095530362352241,-3.85249183856339,-4.1619560505414395,-3.5425351859763534,-3.6790948545892626,-3.818181488293762,-3.7984482142180678,-3.5621021345850927,-3.6700142230974127,-3.6403013276340737,-4.122232655359417,-3.5273404969299413,-3.866946207002661
HERC1,Q15751,-1.133192670368448,-1.3092029772855263,-1.1220238896938106,-1.1783266475889036,-1.2654908105214098,-1.4804641130386251,-1.1421300043038123,-1.097355593173159,-1.207452003070415,-1.0075709558354013,-1.0026123609283637,-1.128049760727798,-1.0423408900158257,-1.00178201300373,-1.2560780003555791
HERC2,O95714,-1.6513585501678705,-1.8220915304256096,-2.0167259556951045,-1.9436349071754648,-1.953556811710726,-2.0919634430370735,-1.96297670908897,-1.8851274358539598,-1.7616747994373476,-1.8871654765135908,-1.908903341746072,-2.006081702359481,-1.9958609389712656,-1.9597590535722347,-1.846392693586541
HERC3,Q15034,-3.783109664892189,-4.058215564503136,-3.709633731910662,-3.52906067222521,-3.6490825276576473,-3.758841151824843,-3.638852488739099,-3.7653211278587655,-3.4475452763696417,-3.424138131189981,-3.7155383028278344,-3.8644670935665903,-3.5774532494060356,-3.5318123080736417,-3.314874166532725
HERC4,Q5GLZ8,1.5475821993417007,1.8726630198648806,1.736382329363611,1.4380154587743057,1.8214639463378646,1.823406963238547,1.7877005901882619,1.7314621597391202,1.853111727596037,1.7575055836558597,1.657444455016087,1.864772190461231,1.6555861276384114,1.9147334235162816,1.799639934149745
HERPUD1,Q15011,-3.9198698766748663,-3.7766727133994866,-4.146210959022156,-4.093156326450133,-4.2037170233390295,-3.9488886391508533,-4.157986244663878,-3.984509287764329,-4.282282619053182,-4.190421657675666,-4.30206206907245,-4.544008565550676,-4.390657071501705,-4.33037842054271,-4.104443174452481
